CODIGO,poblacion_estudio,nbs,umbral,moderada,indigente,marginal,nbs_porcentaje,umbral_porcentaje,moderada_porcentaje,marginal_porcentaje,indigente_porcentaje,pobre,pobre_porcentaje,no_pobre,no_pobre_porcentaje,año,DEPARTAMENTO,PROVINCIA,MUNICIPIO
020302,11801,46,231,4655,6737,132,0.389797474790272,1.9574612320989746,39.445809677146,1.1185492754851283,57.08838234047961,11524,97.65274129311075,277,2.3472587068892494,2001,LA PAZ,PACAJES,CAQUIAVIRI
020302,14538,233,1047,7588,5564,106,1.602696,7.201816,52.19425,0.729124,38.272114,13258,91.19548768743981,1280,8.804512312560187,2012,LA PAZ,PACAJES,CAQUIAVIRI
020303,8755,5,105,2684,5761,200,0.05711022272986865,1.1993146773272416,30.65676756139349,2.2844089091947457,65.80239862935466,8645,98.74357509994289,110,1.2564249000571124,2001,LA PAZ,PACAJES,CALACOTO
020303,9753,75,467,4596,4445,170,0.768994,4.78827,47.123962,1.743053,45.57572,9211,94.44273556854301,542,5.5572644314569875,2012,LA PAZ,PACAJES,CALACOTO
020304,3853,7,80,919,2830,17,0.18167661562418894,2.0763041785621597,23.851544251232806,0.4412146379444588,73.44926031663638,3766,97.74201920581366,87,2.257980794186338,2001,LA PAZ,PACAJES,COMANCHE
020304,3810,47,280,2155,1301,27,1.233596,7.349081,56.56168,0.708661,34.146982,3483,91.41732283464567,327,8.582677165354331,2012,LA PAZ,PACAJES,COMANCHE
020305,2994,112,341,1200,1306,35,3.740815,11.389446,40.08016,1.169005,43.620574,2541,84.86973947895791,453,15.130260521042086,2012,LA PAZ,PACAJES,CHARAÑA
020305,2691,22,90,898,1608,73,0.8175399479747306,3.3444816053511706,33.37049424005946,2.7127461910070605,59.75473801560758,2579,95.8379784466741,112,4.1620215533259,2001,LA PAZ,PACAJES,CHARAÑA
020306,1634,0,2,223,1252,157,0,0.12239902080783352,13.647490820073441,9.608323133414933,76.6217870257038,1632,99.87760097919217,2,0.12239902080783338,2001,LA PAZ,PACAJES,WALDO BALLIVIAN
020306,4964,7,404,3603,931,19,0.141015,8.138598,72.582595,0.382756,18.755036,4553,91.72038678485093,411,8.279613215149073,2012,LA PAZ,PACAJES,WALDO BALLIVIAN
020307,263,0,5,108,148,2,0,1.9011406844106464,41.06463878326996,0.7604562737642585,56.27376425855514,258,98.09885931558935,5,1.9011406844106489,2001,LA PAZ,PACAJES,NAZACARA DE PACAJES
020307,599,11,92,377,119,0,1.836394,15.358932,62.93823,0,19.866444,496,82.80467445742904,103,17.195325542570952,2012,LA PAZ,PACAJES,NAZACARA DE PACAJES
020308,7957,0,3,368,6944,642,0,0.037702651753173305,4.624858615055925,8.068367475179087,87.2690712580118,7954,99.96229734824684,3,0.03770265175316467,2001,LA PAZ,PACAJES,CALLAPA
020308,7189,38,156,2510,4238,247,0.528585,2.169982,34.914453,3.435805,58.951175,6995,97.30143274447072,194,2.6985672555292806,2012,LA PAZ,PACAJES,CALLAPA
